timePoint,Oligodendrocytes,Microglia,Neutrophils,Astrocytes,Monocytes,NKTcells,NeuralProgenitors,Endothelial,Bcells
G1,0.5385235440317055,0.1802915295224021,0.11459662793040908,0.07207630818835226,0.031033787868610198,0.02364479075703634,0.024719553973265265,0.014039094511990327,0.0010747632162289246
G2,0.5721497686159024,0.2051805997956608,0.09303443716569505,0.04194963639641806,0.027104994290522266,0.028066590540296893,0.01809002944888515,0.010757858044353627,0.003666085702265761
G3,0.42276422764227645,0.20639320029563932,0.21387657058388765,0.021526237989652624,0.058019216555801924,0.04868810051736881,0.016906873614190687,0.008961566888396156,0.0028640059127864005
